image,crop_file,bbox,class_id,confidence,ocr_text
K-003351-018147-021325_0_2_0_2_90_000_200.png,K-003351-018147-021325_0_2_0_2_90_000_200_crop0.png,"[637, 810, 796, 1046]",40,0.9619,
K-003351-018147-021325_0_2_0_2_90_000_200.png,K-003351-018147-021325_0_2_0_2_90_000_200_crop1.png,"[410, 194, 594, 377]",49,0.9583,
K-003351-018147-022074_0_2_0_2_70_000_200.png,K-003351-018147-022074_0_2_0_2_70_000_200_crop0.png,"[167, 260, 352, 450]",19,0.9715,
K-003351-018147-022074_0_2_0_2_70_000_200.png,K-003351-018147-022074_0_2_0_2_70_000_200_crop1.png,"[418, 870, 608, 1061]",49,0.9704,
K-003351-018147-022074_0_2_0_2_75_000_200.png,K-003351-018147-022074_0_2_0_2_75_000_200_crop0.png,"[589, 779, 777, 973]",19,0.9724,
K-003351-018147-022074_0_2_0_2_75_000_200.png,K-003351-018147-022074_0_2_0_2_75_000_200_crop1.png,"[328, 166, 513, 356]",49,0.9668,
K-003351-018147-022074_0_2_0_2_90_000_200.png,K-003351-018147-022074_0_2_0_2_90_000_200_crop0.png,"[370, 226, 555, 410]",49,0.9734,
K-003351-018147-022074_0_2_0_2_90_000_200.png,K-003351-018147-022074_0_2_0_2_90_000_200_crop1.png,"[625, 872, 813, 1059]",19,0.9661,
K-003351-018147-029667_0_2_0_2_70_000_200.png,K-003351-018147-029667_0_2_0_2_70_000_200_crop1.png,"[383, 930, 572, 1120]",49,0.9671,
K-003351-018147-029667_0_2_0_2_75_000_200.png,K-003351-018147-029667_0_2_0_2_75_000_200_crop0.png,"[567, 763, 800, 998]",18,0.9692,
K-003351-018147-029667_0_2_0_2_90_000_200.png,K-003351-018147-029667_0_2_0_2_90_000_200_crop1.png,"[606, 856, 834, 1079]",18,0.9594,
K-003351-018147-035206_0_2_0_2_70_000_200.png,K-003351-018147-035206_0_2_0_2_70_000_200_crop0.png,"[389, 895, 579, 1086]",49,0.9594,
K-003351-018147-035206_0_2_0_2_75_000_200.png,K-003351-018147-035206_0_2_0_2_75_000_200_crop0.png,"[358, 144, 542, 333]",49,0.9576,
